Question,Answer,Class
How to set up Java to use user specific certificates for Eclipse?,Use a user-specific configuration.   Setting the private configuration area location      The default location for a private configuration area is:      user-home-dir/.eclipse/&lt;product-id&gt;_&lt;product-version&gt;/configuration      The user home dir is determined by the user.home Java system property. The product id and version are obtained from the product marker file .eclipseproduct under the Eclipse install. ,java
What would you change in my code for best practices/maintenance?,"I would use the empty() instead of $Username == '' in your if statement.  I haven't used propel before, but I would prefer to have this method be on my User object itself with the fetching and saving of the user object performed by a seperate object.  Pseudo code would be something like this. $user = userManager->getUser($username); $user->setAccountStatus($accountStatus); $userManager->saveUser($user); ",php
Can I pass C++ strings into a method in the style of a stream?,"Your compile error looks like have included  &lt;iosfwd&gt; in your class's header file, but you haven't included  &lt;sstream&gt; in the cxx file. ",c++
How do we specify the client area size of a form in design mode?,Have you looked at the ClientSize property?  This property allows you to modify the size of the client area of the control.  Seems to be what you're looking for. http://msdn.microsoft.com/en-us/library/system.windows.forms.form.clientsize.aspx ,c#
Can there be more than one AWT event queue?,"There can be more than one, and it depends on the browser. EventQueue documentation says: Some browsers partition applets in different code bases into separate contexts, and establish walls between these contexts. In such a scenario, there will be one EventQueue per context. Other browsers place all applets into the same context, implying that there will be only a single, global EventQueue for all applets. This behavior is implementation-dependent. ",java
How to use Web parts in asp.net C#?,Here is the official MSDN documentation for ASP.NET WebParts. This is the opening article containing all the links to subsequent chapters to help you further understand and implement the WebParts into an ASP.NET application. ,c#
"In Firefox, how do I force a cursor to stick to the last typed character?","I fear firefox is actually handling this like it should handle, because the characters are now right-padded to match the letter-spacing. Safari does this as well. IE does it the wrong way, it pretends the character is smaller than it actually is. I would suggest to just make the width larger of the input box... ",jquery
"In an Eclipse RCP editor, what is the best way to handle missing mandatory fields?","If you consider some dialog box like ""Create a New Java Project"",  you simply cannot do any action (like ""Next"" or ""Finish"" until you fill the one mandatory field (""Project name"") So it is different than checking on the doSave() event. If that field is invalid (like if the project name already exist), a warning is displayed in the zone at the top. If the field is correctly filled, then you can save. (Note: I know this is not an Editor, but it can give you an idea about the mandatory fields management in eclipse) ",java
Is there any reason to write terse code in Java/C#/C++?,"Barring all other concerns, shorter code is better, since you can see more of it at once. ",c#
Is there any reason to write terse code in Java/C#/C++?,"Barring all other concerns, shorter code is better, since you can see more of it at once. ",java
"How can I remove unused, nested HTML span tags with a Perl regex?","Don't use regexps for processing (HTML ==) XML. You never know what input you'll get. Consider this, valid HTML: a &lt;span&gt;b &lt;span style=""color:red;"" title=""being closed with &lt;/span&gt;""&gt;c&lt;/span&gt; de Would you have thought of that? Use an XML processor instead. Also see the Related Questions (to the right) for your question. ",html
Specifying Tab-Width?,"I believe this blog post should help you out:   Here's a solution, it's not neat since it has to be done for every instance of a tab, but it makes the tabs take up less space and preserves the formatting for copying out of the browser (obviously replace ""A SINGLE TAB HERE"" with a real tab, this blog software automatically removes tabs from entries it seems): &lt;span style=""display:none""&gt;A SINGLE TAB HERE&lt;/span&gt;&lt;span style=""margin-left:YOUR NEW TAB WIDTH""&gt;&lt;/span&gt;   Basically, replace every instance of a tab in your code with that code snippet (after choosing a suitable width, you could do it in a stylesheet pretty easily). The code artificially inserts the margin whilst keeping the original tab in the code ready for copy/pasting. Incidentally, it looks like tab stops made it into the CSS specification. There's also another Stack Overflow question on this subject. ",html
strptime in windows?,"I have written a strptime which I use on Windows to make up for it's absence in the Microsoft C runtime library. Here it is: #include &lt;stdio.h&gt; #include &lt;stdlib.h&gt; #include &lt;string.h&gt; #include &lt;time.h&gt; #include &lt;ctype.h&gt; #ifdef _MSC_VER const char * strp_weekdays[] =      { ""sunday"", ""monday"", ""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday""}; const char * strp_monthnames[] =      { ""january"", ""february"", ""march"", ""april"", ""may"", ""june"", ""july"", ""august"", ""september"", ""october"", ""november"", ""december""}; bool strp_atoi(const char * &amp; s, int &amp; result, int low, int high, int offset)     {     bool worked = false;     char * end;     unsigned long num = strtoul(s, &amp; end, 10);     if (num &gt;= (unsigned long)low &amp;&amp; num &lt;= (unsigned long)high)         {         result = (int)(num + offset);         s = end;         worked = true;         }     return worked;     } char * strptime(const char *s, const char *format, struct tm *tm)     {     bool working = true;     while (working &amp;&amp; *format &amp;&amp; *s)         {         switch (*format)             {         case '%':             {             ++format;             switch (*format)                 {             case 'a':             case 'A': // weekday name                 tm-&gt;tm_wday = -1;                 working = false;                 for (size_t i = 0; i &lt; 7; ++ i)                     {                     size_t len = strlen(strp_weekdays[i]);                     if (!strnicmp(strp_weekdays[i], s, len))                         {                         tm-&gt;tm_wday = i;                         s += len;                         working = true;                         break;                         }                     else if (!strnicmp(strp_weekdays[i], s, 3))                         {                         tm-&gt;tm_wday = i;                         s += 3;                         working = true;                         break;                         }                     }                 break;             case 'b':             case 'B':             case 'h': // month name                 tm-&gt;tm_mon = -1;                 working = false;                 for (size_t i = 0; i &lt; 12; ++ i)                     {                     size_t len = strlen(strp_monthnames[i]);                     if (!strnicmp(strp_monthnames[i], s, len))                         {                         tm-&gt;tm_mon = i;                         s += len;                         working = true;                         break;                         }                     else if (!strnicmp(strp_monthnames[i], s, 3))                         {                         tm-&gt;tm_mon = i;                         s += 3;                         working = true;                         break;                         }                     }                 break;             case 'd':             case 'e': // day of month number                 working = strp_atoi(s, tm-&gt;tm_mday, 1, 31, 0);                 break;             case 'D': // %m/%d/%y                 {                 const char * s_save = s;                 working = strp_atoi(s, tm-&gt;tm_mon, 1, 12, -1);                 if (working &amp;&amp; *s == '/')                     {                     ++ s;                     working = strp_atoi(s, tm-&gt;tm_mday, 1, 31, 0);                     if (working &amp;&amp; *s == '/')                         {                         ++ s;                         working = strp_atoi(s, tm-&gt;tm_year, 0, 99, 0);                         if (working &amp;&amp; tm-&gt;tm_year &lt; 69)                             tm-&gt;tm_year += 100;                         }                     }                 if (!working)                     s = s_save;                 }                 break;             case 'H': // hour                 working = strp_atoi(s, tm-&gt;tm_hour, 0, 23, 0);                 break;             case 'I': // hour 12-hour clock                 working = strp_atoi(s, tm-&gt;tm_hour, 1, 12, 0);                 break;             case 'j': // day number of year                 working = strp_atoi(s, tm-&gt;tm_yday, 1, 366, -1);                 break;             case 'm': // month number                 working = strp_atoi(s, tm-&gt;tm_mon, 1, 12, -1);                 break;             case 'M': // minute                 working = strp_atoi(s, tm-&gt;tm_min, 0, 59, 0);                 break;             case 'n': // arbitrary whitespace             case 't':                 while (isspace((int)*s))                      ++s;                 break;             case 'p': // am / pm                 if (!strnicmp(s, ""am"", 2))                     { // the hour will be 1 -&gt; 12 maps to 12 am, 1 am .. 11 am, 12 noon 12 pm .. 11 pm                     if (tm-&gt;tm_hour == 12) // 12 am == 00 hours                         tm-&gt;tm_hour = 0;                     s += 2;                     }                 else if (!strnicmp(s, ""pm"", 2))                     {                     if (tm-&gt;tm_hour &lt; 12) // 12 pm == 12 hours                         tm-&gt;tm_hour += 12; // 1 pm -&gt; 13 hours, 11 pm -&gt; 23 hours                     s += 2;                     }                 else                     working = false;                 break;             case 'r': // 12 hour clock %I:%M:%S %p                 {                 const char * s_save = s;                 working = strp_atoi(s, tm-&gt;tm_hour, 1, 12, 0);                 if (working &amp;&amp; *s == ':')                     {                     ++ s;                     working = strp_atoi(s, tm-&gt;tm_min, 0, 59, 0);                     if (working &amp;&amp; *s == ':')                         {                         ++ s;                         working = strp_atoi(s, tm-&gt;tm_sec, 0, 60, 0);                         if (working &amp;&amp; isspace((int)*s))                             {                             ++ s;                             while (isspace((int)*s))                                  ++s;                             if (!strnicmp(s, ""am"", 2))                                 { // the hour will be 1 -&gt; 12 maps to 12 am, 1 am .. 11 am, 12 noon 12 pm .. 11 pm                                 if (tm-&gt;tm_hour == 12) // 12 am == 00 hours                                     tm-&gt;tm_hour = 0;                                 }                             else if (!strnicmp(s, ""pm"", 2))                                 {                                 if (tm-&gt;tm_hour &lt; 12) // 12 pm == 12 hours                                     tm-&gt;tm_hour += 12; // 1 pm -&gt; 13 hours, 11 pm -&gt; 23 hours                                 }                             else                                 working = false;                             }                         }                     }                 if (!working)                     s = s_save;                 }                 break;             case 'R': // %H:%M                 {                 const char * s_save = s;                 working = strp_atoi(s, tm-&gt;tm_hour, 0, 23, 0);                 if (working &amp;&amp; *s == ':')                     {                     ++ s;                     working = strp_atoi(s, tm-&gt;tm_min, 0, 59, 0);                     }                 if (!working)                     s = s_save;                 }                 break;             case 'S': // seconds                 working = strp_atoi(s, tm-&gt;tm_sec, 0, 60, 0);                 break;             case 'T': // %H:%M:%S                 {                 const char * s_save = s;                 working = strp_atoi(s, tm-&gt;tm_hour, 0, 23, 0);                 if (working &amp;&amp; *s == ':')                     {                     ++ s;                     working = strp_atoi(s, tm-&gt;tm_min, 0, 59, 0);                     if (working &amp;&amp; *s == ':')                         {                         ++ s;                         working = strp_atoi(s, tm-&gt;tm_sec, 0, 60, 0);                         }                     }                 if (!working)                     s = s_save;                 }                 break;             case 'w': // weekday number 0-&gt;6 sunday-&gt;saturday                 working = strp_atoi(s, tm-&gt;tm_wday, 0, 6, 0);                 break;             case 'Y': // year                 working = strp_atoi(s, tm-&gt;tm_year, 1900, 65535, -1900);                 break;             case 'y': // 2-digit year                 working = strp_atoi(s, tm-&gt;tm_year, 0, 99, 0);                 if (working &amp;&amp; tm-&gt;tm_year &lt; 69)                     tm-&gt;tm_year += 100;                 break;             case '%': // escaped                 if (*s != '%')                     working = false;                 ++s;                 break;             default:                 working = false;                 }             }             break;         case ' ':         case '\t':         case '\r':         case '\n':         case '\f':         case '\v':             // zero or more whitespaces:             while (isspace((int)*s))                 ++ s;             break;         default:             // match character             if (*s != *format)                 working = false;             else                 ++s;             break;             }         ++format;         }     return (working?(char *)s:0);     } #endif // _MSC_VER I referred to the online man page man strptime(3) when writing this function. ",c++
How to debug a weird threaded open fifo issue?,"If you get two copies of splitter.py running at the same time, there will be trouble and almost anything that happens to you is legal.   Try adding a process id value to webserver.py, ie: pipe.write(str(os.getpid()) + i + '\n') That might be illuminating. ",python
Is there a way to manually register a user with a py-transport server-side?," Go through once for each transport and register yourself.  Capture the XMPP packets.  Dump the transport registration data from your current system into a csv file, xml file, or something else you can know the structure. Write a script using jabberpy, xmpppy, pyxmpp, or whatever, and emulate each of your users registering with the transports. One issue is you may have to be connected to the Internet for the transports to come online.  Then you're going live with someone else's account.  If you can't get their current password data for your jabber server, set it all to a default and then migrate it back after your transport registration. ",python
How do I create a D-Bus service that dynamically creates multiple objects?,"1) Mostly yes, I would only change one thing in the connect method as I explain in 2).  2) D-Bus connections are not persistent, everything is done with request/response messages, no connection state is stored unless you implement this in third objects as you do with your flickerObject. The d-bus objects in python bindings are mostly proxies that abstract the remote objects as if you were ""connected"" to them, but what it really does is to build messages based on the information you give to D-Bus object instantiation (object path, interface and so). So the service cannot know when the client is done if client doesn't announce it with other explicit call. To handle unexpected client finalization you can create a D-Bus object in the client and send the object path to the service when connecting, change your connect method to accept also an ObjectPath parameter. The service can listen to NameOwnerChanged signal to know if a client has died. To create the individual object you only have to instantiate an object in the same service as you do with your ""/Connection"", but you have to be sure that you are using an unexisting name. You could have a ""/Connection/Manager"", and various ""/Connection/1"", ""/Connection/2""... 3) If you need to store the connection state, you have to do something like that. ",python
Alternatives to ffmpeg as a cli tools for video still extraction?,"Your requirements ""cli tool"" and ""python interface"" aren't entirely compatible.  Which do you want? The following media libraries all have Python bindings: GStreamer, libVLC (pyvlc provides w32 binaries), Xine (via Pyxine).  I'm pretty sure none of them will be easier than using the ffmpeg or mplayer command-line tools, though. Regarding ffmpeg: why would more than one person need to compile from a svn checkout (or tarball, as they've recently had their 0.5 release)?  Grab or make a binary package and have everybody use it. ",python
How to get max allowed filesize in .Net?,"How about using System.Info.DriveInfo.DriveFormat to retrieve the drive's file system (NTFS, FAT, ect.)? That ought to give you at least some idea of the supported file sizes.  ",c#
Would you consider Terracotta to be a mature product?,"Just an FYI, The release you refer to - 3.0.0-stable0 - is the first milestone release of the 3.0 line.  This is the current, in progress version that has not yet been released.  The current stable release line is 2.7 (current version: 2.7.3). If you are looking for a stable, mature product, you should base your opinions on 2.7.x, not 3.0.  The practice is quite commonplace to have a ""bleeding edge"" product and a stable release product.  It may be the terminology that has misled you.  For more information on release naming in use by Terracotta, please have a look at the Buildology page. Regarding version numbers, this is regrettable, but necessary.  In order for the product to improve, changes to the network protocol and underlying storage format happen from time to time.  When these changes occur, the product is incompatible with prior versions.  Rather than promise something that is not possible (backward compatibility) the Terracotta team has chosen instead to prohibit different versions from talking to one another. In the 3.0 line forward, the notion of a Stable Terracotta API has been introduced, which will lay the groundwork for some amount of compatibility between dot releases, e.g. 3.0.0 -> 3.0.1. HTH. Regards, Taylor Gautier Product Manager, Terracotta ",java
How do I shift the visible text in a narrow input element to see the cursor at the end?,"I doubt this is a great cross-browser solution, however it does seem to be a work around in Firefox. I originally tried it by simulating the right arrow-key press, but didn't have any luck. function setCursor(id) {     var elem = document.getElementById(id);     elem.focus();     elem.setSelectionRange(elem.value.length, elem.value.length);     // Trigger a ""space"" keypress.     var evt = document.createEvent(""KeyboardEvent"");     evt.initKeyEvent(""keypress"", true, true, null, false, false, false, false, 0, 32);     elem.dispatchEvent(evt);     // Trigger a ""backspace"" keypress.     evt = document.createEvent(""KeyboardEvent"");     evt.initKeyEvent(""keypress"", true, true, null, false, false, false, false, 8, 0);     elem.dispatchEvent(evt); } More info on initKeyEvent here. ",javascript
How do I shift the visible text in a narrow input element to see the cursor at the end?,"I doubt this is a great cross-browser solution, however it does seem to be a work around in Firefox. I originally tried it by simulating the right arrow-key press, but didn't have any luck. function setCursor(id) {     var elem = document.getElementById(id);     elem.focus();     elem.setSelectionRange(elem.value.length, elem.value.length);     // Trigger a ""space"" keypress.     var evt = document.createEvent(""KeyboardEvent"");     evt.initKeyEvent(""keypress"", true, true, null, false, false, false, false, 0, 32);     elem.dispatchEvent(evt);     // Trigger a ""backspace"" keypress.     evt = document.createEvent(""KeyboardEvent"");     evt.initKeyEvent(""keypress"", true, true, null, false, false, false, false, 8, 0);     elem.dispatchEvent(evt); } More info on initKeyEvent here. ",html
Regexp for matching numbers and units in an HTML fragment?,"The [^] regex modifier only works on single characters, not on compound expressions like (script|style|head). What you want is ?! : var htmlStartTag = '&lt;(?!(' + htmlBlackList + ')\\b)[^&gt;]*?&gt;'; (?! ... ) means 'not followed by ...' but [^ ... ] means 'a single character not in ...'. ",javascript
Regexp for matching numbers and units in an HTML fragment?,"The [^] regex modifier only works on single characters, not on compound expressions like (script|style|head). What you want is ?! : var htmlStartTag = '&lt;(?!(' + htmlBlackList + ')\\b)[^&gt;]*?&gt;'; (?! ... ) means 'not followed by ...' but [^ ... ] means 'a single character not in ...'. ",html
how do you set a max-age for javascript/css?,"Sounds like it's talking about HTTP headers. Basically you'll need to add a couple of HTTP headers to be sent with your Javascript and CSS files (and images too, would be a good idea), looking something like this: Cache-Control: max-age=86400 Expires: Sat, 28 Mar 2009 16:00:00 GMT The first one gives the maximum amount of time, in seconds, that a browser will keep the content (the JS or CSS file) before downloading it again from the server; the second one gives the date and time after which the browser should redownload the content. Yes, these are two ways of saying the same thing, but the Cache-Control header is a little newer and I'm not sure if it's universally supported yet; there's really no harm in specifying both. (Cache-Control takes precedence over Expires if there is a conflict.) As for how you actually configure your server to send these headers: it depends on which web server you're running. If you're using Apache, look at mod_expires. ",javascript
Passing variables and data through a regular web page link?,"You can add a query string: Something like this: &lt;a href=""page.php?id=1&amp;display=asdf""&gt;text&lt;/a&gt; This way, you get this as query string variables. ",php
Passing variables and data through a regular web page link?,"You can add a query string: Something like this: &lt;a href=""page.php?id=1&amp;display=asdf""&gt;text&lt;/a&gt; This way, you get this as query string variables. ",javascript
Passing variables and data through a regular web page link?,"You can add a query string: Something like this: &lt;a href=""page.php?id=1&amp;display=asdf""&gt;text&lt;/a&gt; This way, you get this as query string variables. ",html
Class in the BCL that will event at a given DateTime?,"If you are using ASP.NET you may be able to add an empty object into the Cache with a declared ExpirationDate then handle the CacheItemRemovedCallback.  Just a thought, don't know if it will work for you. If you not using ASP.NET you still may be able to use this trick with another caching framework such as the Enterprise Library Caching Block ",c#
Is there a standard place to put the version number in the source code?,"I would go with the text file option rather than in the code. If you do this, as your project progresses, you can update other tools that you may or may not start to use on your project (eg: phpunderconstrol or a deployment system)  to be able to set/update this number without having to risk those files touching real code and potentially causing bugs. Of course, this all depends on how you see your project progressing and whether you think you will ever use any other tools! ",php
Is there a CalDAV client library for Java?,Try CalDAV4j ,java
Tips for managing a large number of files?,One way is to assign a unique number to each file and use it to look up the actual file location. Then you an use that number to distribute files in different directories in the filesystem. For example you could use something like this scheme: /images/{0}/{1}/{2}   {0}: file_number % 100   {1}: (file_number / 100) % 100   {2}: file_number ,php
Can I detect IE6 with PHP?,"You can detect IE6 with HTML this way &lt;!--[if IE 6]&gt; // ie6 only stuff here &lt;![endif]--&gt; Here's a link on how it's done in PHPWay Back Machine but I've seen many false positives in parsing the $_SERVER[""HTTP_USER_AGENT""] for IE6 ",php
What is the use of passing const references to primitive types?,The main difference between returning a value and returning a const reference is that you then can const_cast that reference and alter the value. It's an example of bad design and an attempt to create a smart design where easy and concise design would be more than enough. Instead of just returning a value the author makes readers of code think what intention he might have had. ,c++
"Dispose on user controls, really meant to edit the .designer.cs file?","Could you clarify what kind of controls?  ASP.NET, WinForms? In ASP.NET you could: protected override void OnUnload(EventArgs e){      base.OnUnload(e);      //Unload here... } ",c#
how do I print an unsigned char as hex in c++ using ostream?,"Use: cout &lt;&lt; ""a is "" &lt;&lt; hex &lt;&lt; (int) a &lt;&lt;""; b is "" &lt;&lt; hex &lt;&lt; (int) b &lt;&lt; endl; And if you want padding with leading zeros then: #include &lt;iomanip&gt; ... cout &lt;&lt; ""a is "" &lt;&lt; setw(2) &lt;&lt; setfill('0') &lt;&lt; hex &lt;&lt; (int) a ; As we are using C-style casts, why not go the whole hog with terminal C++ badness and use a macro! #define HEX( x )    setw(2) &lt;&lt; setfill('0') &lt;&lt; hex &lt;&lt; (int)( x ) you can then say cout &lt;&lt; ""a is "" &lt;&lt; HEX( a ); Edit: Having said that, MartinStettner's solution is much nicer! ",c++
C# Why is my code throwing a io.system.directorynotfound?,Have you tried using System.IO.Directory.Exists rather than System.IO.File.Exists when checking to see if the path exists? ,c#
What is the workaround for unaligned memory access exception on ARM9 using C?,"Copy the value byte by byte. Cast it to a (unsigned) char pointer, and then copy a byte at a time. It's not pretty, but it doesn't sound like you have many options. ",c++
How can I make the Django contrib Admin change list for a particular model class editable with drop downs for related items displayed in the listing?,Try Django 1.1 beta. It's got the option to make items in the changelist editable (as well as incorporating the django-batchadmin project)   ,python
"In Python 2.6, How Might You Pass a List Object to a Method Which Expects A List of Arguments?",'{0} {2}'.format(*thelist) docs ,python
"How can I access runat=""server"" ASP element using javascript?","If you have a textbox: &lt;asp:TextBox id=""txtText"" runat=""server"" /&gt; YOu can use: var textBox=document.getElementById('&lt;%=txtText.ClientID %&gt;'); Any WebControl exposes the same ClientID property. ",javascript
What's the best way to embed HTML within a HTML page in a content management system?,How about populating a div using javascript? That way the HTML would be processed completely seperately and shouldn't hurt the rest of the page ,html
How to Implement multi language in PHP application?,"I would use locale-specific files with constants, eg: locale_en.php: define('GREETING', ""Welcome to Widgets Inc'); and locale_de.php: define('GREETING', 'Wir begruessen Sie zu Widgets Inc'); in your setup you detect the locale and do: if ($locale == 'en') {   require 'locale_en.php'; } else if ($locale == 'de') {   require 'locale_de.php'; } This gives you the benefit of constants and makes localization reasonably transparent to your application in that you don't have to do if ($locale ... all over the place. If anything is locale-specific, just put it in the locale files. If you want to add a locale file just copy an existing one and change all the references rather than trawling your codebase for them. You can also put code in these files like correctly formatting numbers and dates for these locales (including the right names in each language but also the use of commas, quotes, periods and so on), currency conversions and displays, etc. ",php
How do we perform multi threading application in C#?,There is a good resource by Joseph Albahari.. Threading in C# ,c#
Do you follow any guidelines (java) in packaging?,"Packaging is normally about release management, and the general guidelines are: consistency: when you are releasing into integration, pre-production or production environment several deliveries, you want them organized (or ""packaged"") exactly the same way small number of files: when you have to copy a set of files from one environment to another, you want to copy as many as possible, if their number is reasonable (10-20 max per component to deliver), you can just copy them (even if those files are important in size) So you want to define a common structure for each delivery like: aDelivery/     lib // all jar, ear, war, ...     bin // all scripts used to launch your application: sh, bat, ant files, ...     config // all properties files, config files     src // all sources zipped into jars     docs // javadoc zipped      ... Plus, all those common directory structures should be stored into one common repository (a VCS, or a maven repo, or...), in order to be queried, without having to rebuilt them every time you need them (you do not need that if you have only one or two delivery components, but when you have 40 to 60 of them... a full rebuilt is out of the question). ",java
Can Java annotations be unit tested?,"You can't test them directly since, as you noted, there's nothing there to test. You could prove some things, though: Objects with annotations in the code have any expected annotations at runtime Default values have been initialized The annotations bind to the things you expect them to When you unit test, one of the things you can prove is that your implementation conforms to the interface. So if an annotation implies certain behavior or properties (e.g. Serializable things really should be serializable), you would want to represent this in your tests, too. ",java
How do I set a global DateTime format in an ASP.NET project?,"I would suggest you try and make your mysql environment and you .net environment to both use a Universal datetime format rather than a localised version. Then you can use DateTime.ToString(""U"") to use a reliable format at all times. Aside from that though, you should be able to pass your dates to your database as date typed parameters rather than as a string and therefore it will handle the underlying conversion for you. I use SqlServer though not MySql so I don't know if you get the same results. ",c#
Most advanced image compression today (not on browser)?,"You haven't supplied one key piece of information: does the compression need to be lossless or is lossy fine? And if lossy is fine withint what tolerance? You can reduce an entire image to a single bit of information if you're prepared to a highly lossy compression format. :-) Seriously though, the two main lossless formats are GIF and PNG (both in browser and out of) and the biggest (by far) lossy format is JPG. Other formats like BMP and TIF are nowhere near as efficient. all three of these formats are well-supported in Java (either directly or with readily-available third party libraries). PNG tends to be better compression ratios than GIF. See: PNG vs. GIF compression GIF vs. PNG: this one gives reference to (and measures0 the PNGpong format; ",java
How can I open and close a browser window from a Java applet?,I'd suggest using the JSObject interface to call into the browser for opening the windows.  Then you can get the variable of the new window and use that to close it. More documentation: Opening and Closing Windows from Javascript JSObject from Java ,java
What is the best way to create printable letters from an MVC application?,"Since this is just HTML with the ContentType set to application/msword I can't see any reason why you would want to use code-behind. A standard MVC view with a typical HTML template peppered with appropriate &lt;%=...&gt; where view data needs to be inserted would seem to be the sensible approach.  Even where you might want to loop. BTW, why isn't code-behind an easy option? ",html
How to fix this JQuery intellisense in Visual Studio 2008 problem?,"Make sure you've got the corresponding vsdoc file sitting beside jquery-1.3.2.js (in /js/ in your case here), and that it's properly named jquery-1.3.2-vsdoc.js. Also, while I don't think it's strictly necessary in your case, it generally can't hurt to have this hotfix installed:  http://blogs.msdn.com/webdevtools/archive/2008/11/07/hotfix-to-enable-vsdoc-js-intellisense-doc-files-is-now-available.aspx Finally, this is a helpful FAQ on Visual Studio JavaScript Intellisense, by Jeff King (the Program Manager in charge of tooling): http://blogs.msdn.com/webdevtools/archive/2008/11/18/jscript-intellisense-faq.aspx ",javascript
How to fix this JQuery intellisense in Visual Studio 2008 problem?,"Make sure you've got the corresponding vsdoc file sitting beside jquery-1.3.2.js (in /js/ in your case here), and that it's properly named jquery-1.3.2-vsdoc.js. Also, while I don't think it's strictly necessary in your case, it generally can't hurt to have this hotfix installed:  http://blogs.msdn.com/webdevtools/archive/2008/11/07/hotfix-to-enable-vsdoc-js-intellisense-doc-files-is-now-available.aspx Finally, this is a helpful FAQ on Visual Studio JavaScript Intellisense, by Jeff King (the Program Manager in charge of tooling): http://blogs.msdn.com/webdevtools/archive/2008/11/18/jscript-intellisense-faq.aspx ",jquery
Which browsers have problems caching XMLHTTPRequest responses?,"Although some browsers have different defaults (by default, IE will cache results from AJAX requests, but Firefox, by default, will not), all browsers that I'm aware of will obey the http headers, such as Cache-Control. So just set the caching headers correctly for your application. Here is an example:     public ActionResult SomeAction()     {         var model = [...];         Response.AddHeader(""Cache-Control"", ""no-cache"");         return Json(model);     } Now IE and Firefox will both behave the same; they will never cache the results of the action. ",javascript
Do I need to explicitly call the base virtual destructor?,"No you don't need to call the base destructor, a base destructor is always called for you by the derived destructor.   Please see my related answer here for order of destruction.  To understand why you want a virtual destructor in the base class, please see the code below: class B { public:     virtual ~B()     {         cout&lt;&lt;""B destructor""&lt;&lt;endl;     } }; class D : public B { public:     virtual ~D()     {         cout&lt;&lt;""D destructor""&lt;&lt;endl;     } }; When you do: B *pD = new D(); delete pD; Then if you did not have a virtual destructor in B, only ~B() would be called.  But since you have a virtual destructor, first ~D() will be called, then ~B(). ",c++
How can I add non-sequential numbers to a range?,"Use the built-in + operator to append your non-sequential numbers to the range. for x in range(750, 765) + [769, 770, 774]: print x ",python
How do I make an http request using cookies on Android?,"I do not work with google android but I think you'll find it's not that hard to get this working. If you read the relevant bit of the java tutorial you'll see that a registered cookiehandler gets callbacks from the HTTP code.  So if there is no default (have you checked if CookieHandler.getDefault() really is null?) then you can simply extend CookieHandler, implement put/get and make it work pretty much automatically. Be sure to consider concurrent access and the like if you go that route. edit: Obviously you'd have to set an instance of your custom implementation as the default handler through CookieHandler.setDefault() to receive the callbacks. Forgot to mention that. ",java
How do I make an http request using cookies on Android?,"I do not work with google android but I think you'll find it's not that hard to get this working. If you read the relevant bit of the java tutorial you'll see that a registered cookiehandler gets callbacks from the HTTP code.  So if there is no default (have you checked if CookieHandler.getDefault() really is null?) then you can simply extend CookieHandler, implement put/get and make it work pretty much automatically. Be sure to consider concurrent access and the like if you go that route. edit: Obviously you'd have to set an instance of your custom implementation as the default handler through CookieHandler.setDefault() to receive the callbacks. Forgot to mention that. ",android
ImageButton event does not fire if ImageButton does not have Image?,"No, that is not normal.  I just tested and even if you never set ImageUrl the button will still post back.  Are you certain that the issue is not related to event handling? ",c#
How can I use a dynamically sized texture array with glTexImage2D?,"You can use int width = 1024; int height = 1024; GLubyte * texture = new GLubyte[4*width*height]; ... glTexImage2D(     GL_TEXTURE_2D, 0, GL_RGBA,     width, height,     0, GL_RGBA, GL_UNSIGNED_BYTE, textureArray); delete [] texture;         //remove the un-needed local copy of the texture; However you still need to specify the width and height to OpenGL in glTexImage2D call.  This call copies texture data and that data is managed by OpenGL.  You can delete, resize, change your original texture array all you want and it won't make a different to the texture you specified to OpenGL. Edit: C/C++ deals with only 1 dimensional arrays.  The fact that you can do texture[a][b] is hidden and converted by the compiler at compile time.  The compiler must know the number of columns and will do texture[a*cols + b]. Use a class to hide the allocation, access to the texture. For academic purposes, if you really want dynamic multi dimensional arrays the following should work: int rows = 16, cols = 16; char * storage = new char[rows * cols]; char ** accessor2D = new char *[rows]; for (int i = 0; i &lt; rows; i++) {     accessor2D[i] = storage + i*cols; } accessor2D[5][5] = 2; assert(storage[5*cols + 5] == accessor2D[5][5]); delete [] accessor2D; delete [] storage; Notice that in all the cases I'm using 1D arrays.  They are just arrays of pointers, and array of pointers to pointers.  There's memory overhead to this.  Also this is done for 2D array without colour components.  For 3D dereferencing this gets really messy.  Don't use this in your code. ",c++
Why are Doctype declarations split on two lines?,"It's just line-wrapping. Also, XML will take either quote mark, but convention is the double quote. ",html
How do I define a generic std::list of a custom type?,You need a semicolon after your class declaration :-). class Line {     ... };    // put a semicolon here. ,c++
Fastest way to format a phone number in C#?,"I would assume it'd be: var number = string.Format(""({0}) {1}-{2}"", oldNumber.Substring(0, 3), oldNumber.Substring(3, 3), oldNumber.Substring(6)); This assumes that you have the number stored as ""1234567890"" and want it to be ""(123) 456-7890"". ",c#
